## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output MT327745_1_sorted_dedup.bam --metrics-file MT327745_1_sorted_dedup_metrics.txt --input MT327745_1.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 22, 2021 3:22:35 AM EDT

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	296	207941	301	592	282	77997	0	0.375503	202370

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	0.999998
2.0	1.357888
3.0	1.485973
4.0	1.531813
5.0	1.548219
6.0	1.554091
7.0	1.556192
8.0	1.556944
9.0	1.557213
10.0	1.557309
11.0	1.557344
12.0	1.557356
13.0	1.557361
14.0	1.557362
15.0	1.557363
16.0	1.557363
17.0	1.557363
18.0	1.557363
19.0	1.557363
20.0	1.557363
21.0	1.557363
22.0	1.557363
23.0	1.557363
24.0	1.557363
25.0	1.557363
26.0	1.557363
27.0	1.557363
28.0	1.557363
29.0	1.557363
30.0	1.557363
31.0	1.557363
32.0	1.557363
33.0	1.557363
34.0	1.557363
35.0	1.557363
36.0	1.557363
37.0	1.557363
38.0	1.557363
39.0	1.557363
40.0	1.557363
41.0	1.557363
42.0	1.557363
43.0	1.557363
44.0	1.557363
45.0	1.557363
46.0	1.557363
47.0	1.557363
48.0	1.557363
49.0	1.557363
50.0	1.557363
51.0	1.557363
52.0	1.557363
53.0	1.557363
54.0	1.557363
55.0	1.557363
56.0	1.557363
57.0	1.557363
58.0	1.557363
59.0	1.557363
60.0	1.557363
61.0	1.557363
62.0	1.557363
63.0	1.557363
64.0	1.557363
65.0	1.557363
66.0	1.557363
67.0	1.557363
68.0	1.557363
69.0	1.557363
70.0	1.557363
71.0	1.557363
72.0	1.557363
73.0	1.557363
74.0	1.557363
75.0	1.557363
76.0	1.557363
77.0	1.557363
78.0	1.557363
79.0	1.557363
80.0	1.557363
81.0	1.557363
82.0	1.557363
83.0	1.557363
84.0	1.557363
85.0	1.557363
86.0	1.557363
87.0	1.557363
88.0	1.557363
89.0	1.557363
90.0	1.557363
91.0	1.557363
92.0	1.557363
93.0	1.557363
94.0	1.557363
95.0	1.557363
96.0	1.557363
97.0	1.557363
98.0	1.557363
99.0	1.557363
100.0	1.557363

